,City,State,City_State,Latitude,Longitude
86, Union,MO," Union, MO",38.4500517,-91.0084762
87, Ripley,TN," Ripley, TN",35.7453552,-89.5297973
88, Bastrop,LA," Bastrop, LA",32.7562463,-91.8723497
89, Rolla,MO," Rolla, MO",37.948544,-91.7715303
90, Bentonville,AR," Bentonville, AR",36.3728538,-94.2088172
91, Shawnee,OK," Shawnee, OK",35.3272928,-96.9253004
92, Stuttgart,AR," Stuttgart, AR",34.5003748,-91.5526281
93, Harrisonville,MO," Harrisonville, MO",38.6533445,-94.3488372
94, Fulton,KY," Fulton, KY",36.5042277,-88.8742259
95, Milan,TN," Milan, TN",35.9197885,-88.7589488
96, Corinth,MS," Corinth, MS",34.9342548,-88.5222702
97, Guthrie,OK," Guthrie, OK",35.878937,-97.4253185
98, Martin,TN," Martin, TN",36.3433965,-88.8503379
99, Cameron,MO," Cameron, MO",39.7402801,-94.241057
100, Winter Garden,FL," Winter Garden, FL",28.5652787,-81.5861847
101, Chickasha,OK," Chickasha, OK",35.052565,-97.9364326
102, Chanute,KS," Chanute, KS",37.6792135,-95.4572034
103, Booneville,MS," Booneville, MS",34.6581596,-88.5667036
104, Starkville,MS," Starkville, MS",33.4503998,-88.8183872
105, Carthage,MO," Carthage, MO",37.176447,-94.3102228
106, Vivian,LA," Vivian, LA",32.8715278,-93.9874032
107, Batesville,AR," Batesville, AR",35.769799,-91.6409721
108, Joplin,MO," Joplin, MO",37.0842271,-94.513281
109, West Point,MS," West Point, MS",33.6076186,-88.6503254
110, Broken Bow,OK," Broken Bow, OK",34.0292764,-94.7391045
111, Little Rock,AR," Little Rock, AR",34.7464809,-92.2895948
112, Okmulgee,OK," Okmulgee, OK",35.6266957,-95.9515399
113, Fort Smith,AR," Fort Smith, AR",35.3859242,-94.3985475
114, Jackson,MO," Jackson, MO",37.3822732,-89.6662063
115, Malvern,AR," Malvern, AR",34.3623149,-92.8129462
116, Little Rock,AR," Little Rock, AR",34.7464809,-92.2895948
117, Ardmore,OK," Ardmore, OK",34.1742611,-97.1436254
118, Amory,MS," Amory, MS",33.9842768,-88.488099
119, Jonesboro,AR," Jonesboro, AR",35.8422967,-90.704279
120, Humboldt,TN," Humboldt, TN",35.8197917,-88.9158953
121, Seminole,OK," Seminole, OK",35.2245201,-96.670573
122, Ashdown,AR," Ashdown, AR",33.6742867,-94.1313054
123, Mount Pleasant,TX," Mount Pleasant, TX",33.1567863,-94.968269
124, Kingfisher,OK," Kingfisher, OK",35.861432,-97.9317203
125, Elk City,OK," Elk City, OK",35.4119944,-99.4042592
126, Chillicothe,MO," Chillicothe, MO",39.7952946,-93.5524358
127, Stillwater,OK," Stillwater, OK",36.1156071,-97.0583681
128, Purcell,OK," Purcell, OK",35.0136831,-97.3611394
129, Lufkin,TX," Lufkin, TX",31.3382406,-94.729097
130, Fort Smith,AR," Fort Smith, AR",35.3859242,-94.3985475
131, Blackwell,OK," Blackwell, OK",36.8044767,-97.2828207
132, Benton,KY," Benton, KY",36.8572781,-88.350315
133, Bowling Green,MO," Bowling Green, MO",39.3419891,-91.1951437
134, Fayetteville,AR," Fayetteville, AR",36.082156,-94.1718542
135, Jonesboro,LA," Jonesboro, LA",32.2412672,-92.7159853
136, Mena,AR," Mena, AR",34.5862171,-94.2396554
137, Denison,TX," Denison, TX",33.7556593,-96.536658
138, Springfield,MO," Springfield, MO",37.2089572,-93.2922989
139, Mcalester,OK," Mcalester, OK",34.9334298,-95.7697131
140, Woodward,OK," Woodward, OK",36.413792,-99.3673084
141, New Albany,MS," New Albany, MS",34.4942683,-89.0078418
142, Abingdon,VA," Abingdon, VA",36.7098335,-81.9773482
143, Aurora,MO," Aurora, MO",36.970891,-93.717979
144, De Soto,MO," De Soto, MO",38.1394978,-90.5551258
145, Bonham,TX," Bonham, TX",33.5773275,-96.1783111
146, Ash Flat,AR," Ash Flat, AR",36.2239566,-91.6084751
147, Senatobia,MS," Senatobia, MS",34.6176032,-89.9687011
148, Searcy,AR," Searcy, AR",35.2468204,-91.7336846
149, Huntingdon,TN," Huntingdon, TN",36.0006178,-88.4281063
150, Anadarko,OK," Anadarko, OK",35.072562,-98.2436625
151, Houston,MO," Houston, MO",37.3261588,-91.955988
152, Crossett,AR," Crossett, AR",33.1281779,-91.9612427
153, Henderson,TX," Henderson, TX",32.1532156,-94.7993802
154, Owasso,OK," Owasso, OK",36.2695388,-95.8547119
155, Columbia,MO," Columbia, MO",38.9517053,-92.3340724
156, Lonoke,AR," Lonoke, AR",34.7839795,-91.8998611
157, Camden,AR," Camden, AR",33.5845581,-92.8343294
158, Potosi,MO," Potosi, MO",37.936438,-90.7879086
159, Washington,MO," Washington, MO",38.5581072,-91.0120878
160, Cocoa,FL," Cocoa, FL",28.3861159,-80.7419984
161, Ripley,MS," Ripley, MS",34.7298181,-88.9506181
162, Paris,TN," Paris, TN",36.3020023,-88.3267107
163, Collierville,TN," Collierville, TN",35.042036,-89.6645266
164, Alva,OK," Alva, OK",36.8050308,-98.6664737
165, Springfield,MO," Springfield, MO",37.2089572,-93.2922989
166, Jacksonville,TX," Jacksonville, TX",31.963778,-95.2705042
167, Greenville,MS," Greenville, MS",33.399661,-91.0377029
168, New Boston,TX," New Boston, TX",33.4598415,-94.4154787
169, Muskogee,OK," Muskogee, OK",35.7478769,-95.3696909
170, Blue Springs,MO," Blue Springs, MO",39.0169509,-94.2816148
171, Louisville,MS," Louisville, MS",33.1237377,-89.0550624
172, Pittsburg,KS," Pittsburg, KS",37.410884,-94.70496
173, Gainesville,TX," Gainesville, TX",33.6259414,-97.1333453
174, Cape Girardeau,MO," Cape Girardeau, MO",37.3058839,-89.5181476
175, El Dorado,KS," El Dorado, KS",37.81724,-96.8622524
176, Columbia,TN," Columbia, TN",35.6150716,-87.0352831
177, Kirksville,MO," Kirksville, MO",40.1947539,-92.5832496
178, Kennett,MO," Kennett, MO",36.2361762,-90.0556493
179, Baytown,TX," Baytown, TX",29.7355047,-94.9774274
180, Carbondale,IL," Carbondale, IL",37.7272727,-89.2167501
181, Gilmer,TX," Gilmer, TX",32.7287472,-94.9424379
182, Excelsior Springs,MO," Excelsior Springs, MO",39.3391712,-94.2260559
183, Paris,TX," Paris, TX",33.6609389,-95.555513
184, Macomb,IL," Macomb, IL",40.4592076,-90.6717971
185, Jacksonville,IL," Jacksonville, IL",39.733936,-90.2290098
186, Salem,IL," Salem, IL",38.6269929,-88.9456158
187, Belleville,IL," Belleville, IL",38.5200504,-89.9839935
188, Lincoln,IL," Lincoln, IL",40.1483768,-89.3648183
189, Princeton,KY," Princeton, KY",37.1092162,-87.8819594
190, Brookfield,MO," Brookfield, MO",39.7844687,-93.0735348
191, Philadelphia,MS," Philadelphia, MS",32.7715227,-89.1167275
192, Cleveland,OK," Cleveland, OK",36.3100688,-96.4641886
193, Mckinney,TX," Mckinney, TX",33.1972465,-96.6397822
194, Nacogdoches,TX," Nacogdoches, TX",31.6035129,-94.6554874
195, Holdenville,OK," Holdenville, OK",35.0803617,-96.3991765
196, Norman,OK," Norman, OK",35.2225668,-97.4394777
197, Ozark,AR," Ozark, AR",35.4870295,-93.8276965
198, Hillsboro,TX," Hillsboro, TX",32.0109886,-97.1300061
199, Litchfield,IL," Litchfield, IL",39.1753256,-89.6542579
200, Jasper,TX," Jasper, TX",30.9201995,-93.9965759
201, Pontotoc,MS," Pontotoc, MS",34.2478831,-88.998673
202, Sedalia,MO," Sedalia, MO",38.7044609,-93.2282613
203, Marion,IL," Marion, IL",37.7306054,-88.9331256
204, Lewisville,TX," Lewisville, TX",33.046233,-96.994174
205, Selmer,TN," Selmer, TN",35.1700834,-88.5922704
206, Sparta,IL," Sparta, IL",38.1231053,-89.7017658
207, Natchitoches,LA," Natchitoches, LA",31.7607195,-93.0862749
208, Yukon,OK," Yukon, OK",35.5067215,-97.7625441
209, Atlanta,TX," Atlanta, TX",33.1137419,-94.1643537
210, Mount Vernon,IL," Mount Vernon, IL",38.3172714,-88.9031201
211, Ada,OK," Ada, OK",34.774531,-96.6783449
212, El Reno,OK," El Reno, OK",35.5322741,-97.9550493
213, Trumann,AR," Trumann, AR",35.6736895,-90.5073285
214, Cleburne,TX," Cleburne, TX",32.3476438,-97.3866837
215, Atoka,OK," Atoka, OK",34.3859257,-96.1283252
216, Paris,AR," Paris, AR",35.2920325,-93.7299173
217, Kansas City,MO," Kansas City, MO",39.0997265,-94.5785667
218, Corning,AR," Corning, AR",36.4078388,-90.5798336
219, Harrisburg,IL," Harrisburg, IL",37.7383812,-88.540607
220, Pulaski,TN," Pulaski, TN",35.1998023,-87.0308412
221, Crockett,TX," Crockett, TX",31.3182359,-95.4566136
222, Paola,KS," Paola, KS",38.5722353,-94.8791294
223, Kosciusko,MS," Kosciusko, MS",33.0576295,-89.5875764
224, Anna,IL," Anna, IL",37.4603274,-89.2470282
225, Wentzville,MO," Wentzville, MO",38.81144,-90.8529107
226, Winnfield,LA," Winnfield, LA",31.9254413,-92.6395931
227, Commerce,TX," Commerce, TX",33.2470567,-95.8999656
228, Skiatook,OK," Skiatook, OK",36.3684245,-96.0013847
229, Mexia,TX," Mexia, TX",31.6798895,-96.482203
230, Crowley,TX," Crowley, TX",32.5790251,-97.3625172
231, Warsaw,MO," Warsaw, MO",38.2430811,-93.3818711
232, Burleson,TX," Burleson, TX",32.5420821,-97.3208492
233, Henryetta,OK," Henryetta, OK",35.4398261,-95.9819429
234, Olney,IL," Olney, IL",38.7308811,-88.0853154
235, Jerseyville,IL," Jerseyville, IL",39.1200471,-90.3284479
236, Du Quoin,IL," Du Quoin, IL",38.0114393,-89.2361935
237, Mineola,TX," Mineola, TX",32.6631884,-95.4882896
238, Glen Carbon,IL," Glen Carbon, IL",38.7483814,-89.983158
239, Morganfield,KY," Morganfield, KY",37.6833776,-87.9166915
240, Hot Springs,AR," Hot Springs, AR",34.5037004,-93.0551795
241, Waxahachie,TX," Waxahachie, TX",32.3865312,-96.8483311
242, Tupelo,MS," Tupelo, MS",34.2576066,-88.7033859
243, Terrell,TX," Terrell, TX",32.7359626,-96.2752569
244, Dickson,TN," Dickson, TN",36.0770048,-87.3877899
245, Grapevine,TX," Grapevine, TX",32.9342919,-97.0780654
246, Savannah,TN," Savannah, TN",35.2248034,-88.2492037
247, Benton,IL," Benton, IL",37.9967163,-88.9200685
248, Webb City,MO," Webb City, MO",37.1464475,-94.4630035
249, Bowie,TX," Bowie, TX",33.5589953,-97.8486457
250, Iuka,MS," Iuka, MS",34.8117565,-88.1900415
251, Lawton,OK," Lawton, OK",34.6035669,-98.3959291
252, Franklin,TN," Franklin, TN",35.9250637,-86.8688899
253, Fulton,MS," Fulton, MS",34.2739933,-88.4092133
254, Winona,MS," Winona, MS",33.4820678,-89.7281369
255, Stigler,OK," Stigler, OK",35.253708,-95.1230169
256, Moore,OK," Moore, OK",35.3395079,-97.4867028
257, Livingston,TX," Livingston, TX",30.711029,-94.9329898
258, Sulphur,OK," Sulphur, OK",34.5078669,-96.9683498
259, Heber Springs,AR," Heber Springs, AR",35.4914677,-92.03126
260, Shreveport,LA," Shreveport, LA",32.5251516,-93.7501789
261, Bridge City,TX," Bridge City, TX",30.0207678,-93.8457255
262, Franklin,KY," Franklin, KY",36.722263,-86.5772177
263, Jasper,AL," Jasper, AL",33.8312185,-87.2775053
264, Mansfield,TX," Mansfield, TX",32.5631924,-97.1416768
265, Huntsville,TX," Huntsville, TX",30.7235263,-95.5507771
266, De Queen,AR," De Queen, AR",34.0378916,-94.3413168
267, Woodville,TX," Woodville, TX",30.7752011,-94.4154758
268, Rockdale,TX," Rockdale, TX",30.6554759,-97.0013744
269, Mcgehee,AR," Mcgehee, AR",33.6255234,-91.3945566
270, Lockhart,TX," Lockhart, TX",29.8849441,-97.6699996
271, Navasota,TX," Navasota, TX",30.3879845,-96.0877349
272, Central City,KY," Central City, KY",37.2939322,-87.1233292
273, Eureka,MO," Eureka, MO",38.5025537,-90.6279044
274, Gonzales,TX," Gonzales, TX",29.5016257,-97.4524926
275, Boaz,AL," Boaz, AL",34.2031662,-86.1520969
276, Porter,TX," Porter, TX",30.1044506,-95.2364276
277, Bowling Green,KY," Bowling Green, KY",36.9685219,-86.4808043
278, Jacksonville,AL," Jacksonville, AL",33.8137125,-85.7613536
279, Cleveland,TX," Cleveland, TX",30.34132,-95.0854885
280, Gadsden,AL," Gadsden, AL",34.014264,-86.0066386
281, Holly Springs,MS," Holly Springs, MS",34.7675967,-89.4486894
282, Dardanelle,AR," Dardanelle, AR",35.2231408,-93.1579532
283, Murphysboro,IL," Murphysboro, IL",37.7644952,-89.3350888
284, Springfield,TN," Springfield, TN",36.5092118,-86.8849984
285, Crowley,LA," Crowley, LA",30.2140928,-92.3745761
286, Abbeville,LA," Abbeville, LA",29.9746502,-92.1342921
287, Rockwall,TX," Rockwall, TX",32.9312336,-96.4597089
288, Manchester,TN," Manchester, TN",35.4817431,-86.0885993
289, Ville Platte,LA," Ville Platte, LA",30.6879749,-92.2715157
290, Franklin,LA," Franklin, LA",29.7960399,-91.5015002
291, Attalla,AL," Attalla, AL",34.0217639,-86.0885852
292, Vandalia,IL," Vandalia, IL",38.9606009,-89.0936778
293, Arkadelphia,AR," Arkadelphia, AR",34.1209292,-93.0537839
294, Marlin,TX," Marlin, TX",31.3062874,-96.8980439
295, Bryan,TX," Bryan, TX",30.6743643,-96.3699632
296, Fayetteville,TN," Fayetteville, TN",35.1520266,-86.5705508
297, Brenham,TX," Brenham, TX",30.1668828,-96.3977442
298, Mansfield,LA," Mansfield, LA",32.0376629,-93.7001819
299, Higginsville,MO," Higginsville, MO",39.0725121,-93.7171621
300, Bristow,OK," Bristow, OK",35.8306334,-96.391118
301, Richmond,MO," Richmond, MO",39.278622,-93.9768876
302, Waterloo,IL," Waterloo, IL",38.3358857,-90.1498341
303, West Monroe,LA," West Monroe, LA",32.5184775,-92.1476353
304, Anniston,AL," Anniston, AL",33.6598257,-85.8316318
305, Sulphur,LA," Sulphur, LA",30.2365943,-93.3773783
306, Victoria,TX," Victoria, TX",28.8052674,-97.0035982
307, Jay,OK," Jay, OK",36.4211914,-94.7968959
308, Beaver Dam,KY," Beaver Dam, KY",37.4019918,-86.8758256
309, Huntsville,AL," Huntsville, AL",34.7303688,-86.5861037
310, Jackson,TN," Jackson, TN",35.6145169,-88.8139469
311, Sheridan,AR," Sheridan, AR",34.3070406,-92.4012654
312, Fordyce,AR," Fordyce, AR",33.8137161,-92.4129303
313, Lamar,MO," Lamar, MO",37.4950478,-94.2766148
314, Carlinville,IL," Carlinville, IL",39.2797699,-89.8817662
315, Checotah,OK," Checotah, OK",35.4700993,-95.5230356
316, Ennis,TX," Ennis, TX",32.3293111,-96.6252679
317, Marysville,KS," Marysville, KS",39.8411129,-96.647242
318, Hiawatha,KS," Hiawatha, KS",39.8525033,-95.5358156
319, Palestine,TX," Palestine, TX",31.7621153,-95.6307891
320, Raymore,MO," Raymore, MO",38.801953,-94.4527294
321, Taylorville,IL," Taylorville, IL",39.548935,-89.294533
322, Monticello,AR," Monticello, AR",33.6289974,-91.7909639
323, Augusta,KS," Augusta, KS",37.6866844,-96.9767023
324, El Campo,TX," El Campo, TX",29.1966405,-96.2696867
325, Indianola,MS," Indianola, MS",33.4509513,-90.6550917
326, Chester,IL," Chester, IL",37.9136628,-89.8220505
327, York,NE," York, NE",40.8673915,-97.5920867
328, Tomball,TX," Tomball, TX",30.0971621,-95.6160549
329, Versailles,MO," Versailles, MO",38.4314141,-92.8410274
330, Owensville,MO," Owensville, MO",38.3456023,-91.5015487
331, Graham,TX," Graham, TX",33.1070597,-98.589502
332, Alma,AR," Alma, AR",35.4778653,-94.2218752
333, Fayetteville,AR," Fayetteville, AR",36.082156,-94.1718542
334, Collinsville,IL," Collinsville, IL",38.6703266,-89.9845476
335, Arab,AL," Arab, AL",34.3181497,-86.4958219
336, Winfield,AL," Winfield, AL",33.928993,-87.8172457
337, Cushing,OK," Cushing, OK",35.9850639,-96.76697
338, High Ridge,MO," High Ridge, MO",38.4589432,-90.5365126
339, Fredericktown,MO," Fredericktown, MO",37.5597754,-90.2940069
340, Auburn,AL," Auburn, AL",32.6098566,-85.4807825
341, Pearl,MS," Pearl, MS",32.2745912,-90.1320311
342, Madisonville,TN," Madisonville, TN",35.5197984,-84.3635338
343, Winfield,KS," Winfield, KS",37.2397486,-96.9955918
344, Parsons,KS," Parsons, KS",37.3403384,-95.2610838
345, Marshall,MO," Marshall, MO",39.1230777,-93.1968704
346, Center,TX," Center, TX",31.7954512,-94.1790862
347, Opelika,AL," Opelika, AL",32.6454116,-85.3782795
348, Dodge City,KS," Dodge City, KS",37.7527982,-100.0170787
349, Huntsville,AL," Huntsville, AL",34.7303688,-86.5861037
350, Coweta,OK," Coweta, OK",35.9517674,-95.650814
351, Bossier City,LA," Bossier City, LA",32.5159852,-93.7321228
352, Holton,KS," Holton, KS",39.4652724,-95.7363723
353, Huntsville,AR," Huntsville, AR",36.086187,-93.7413032
354, Ozark,MO," Ozark, MO",37.0208865,-93.2060163
355, Waldron,AR," Waldron, AR",34.8984323,-94.0907634
356, Silsbee,TX," Silsbee, TX",30.3490976,-94.1779624
357, Lumberton,TX," Lumberton, TX",30.2657655,-94.1996286
358, Jennings,LA," Jennings, LA",30.2224284,-92.657085
359, Ottawa,KS," Ottawa, KS",38.615768,-95.2686366
360, Chandler,OK," Chandler, OK",35.7017314,-96.8808582
361, Waverly,TN," Waverly, TN",36.0839489,-87.794747
362, Fort Smith,AR," Fort Smith, AR",35.3859242,-94.3985475
363, Weatherford,OK," Weatherford, OK",35.5261633,-98.7075744
364, Mission,TX," Mission, TX",26.2159066,-98.3252932
365, Moulton,AL," Moulton, AL",34.4812062,-87.2933533
366, Mcallen,TX," Mcallen, TX",26.2034071,-98.2300124
367, Anderson,SC," Anderson, SC",34.5034394,-82.6501332
368, Longview,TX," Longview, TX",32.5007037,-94.7404891
369, Conroe,TX," Conroe, TX",30.3118769,-95.4560512
370, Longview,TX," Longview, TX",32.5007037,-94.7404891
371, Russellville,AL," Russellville, AL",34.5078726,-87.7286431
372, Oneonta,AL," Oneonta, AL",33.9481537,-86.472764
373, San Marcos,TX," San Marcos, TX",29.8832749,-97.9413941
374, Leesville,LA," Leesville, LA",31.1435194,-93.260998
375, Killeen,TX," Killeen, TX",31.1171194,-97.7277959
376, Jackson,TN," Jackson, TN",35.6145169,-88.8139469
377, Port Arthur,TX," Port Arthur, TX",29.8849504,-93.939947
378, Haleyville,AL," Haleyville, AL",34.226488,-87.6214133
379, Breaux Bridge,LA," Breaux Bridge, LA",30.2735323,-91.8992837
380, Murray,KY," Murray, KY",36.6103334,-88.314761
381, Houston,MS," Houston, MS",33.8984461,-88.9992267
382, Port Isabel,TX," Port Isabel, TX",26.0734119,-97.2085844
383, Athens,TX," Athens, TX",32.2048735,-95.8555207
384, Murfreesboro,TN," Murfreesboro, TN",35.8456213,-86.39027
385, Wichita Falls,TX," Wichita Falls, TX",33.9137085,-98.4933873
386, Fairbury,NE," Fairbury, NE",40.1466169,-97.1798456
387, Granbury,TX," Granbury, TX",32.4420826,-97.7941967
388, Wellington,KS," Wellington, KS",37.2653004,-97.3717118
389, Sulphur Springs,TX," Sulphur Springs, TX",33.1384479,-95.6010668
390, Wichita Falls,TX," Wichita Falls, TX",33.9137085,-98.4933873
391, Decatur,TX," Decatur, TX",33.2342834,-97.5861393
392, Robinson,IL," Robinson, IL",39.0053201,-87.7391935
393, Tupelo,MS," Tupelo, MS",34.2576066,-88.7033859
394, Alabaster,AL," Alabaster, AL",33.2442813,-86.8163773
395, Clanton,AL," Clanton, AL",32.8387371,-86.6294262
396, Brent,AL," Brent, AL",32.9373463,-87.1647184
397, Greenville,TX," Greenville, TX",33.1384488,-96.1108066
398, Zachary,LA," Zachary, LA",30.6485191,-91.1564961
399, Edinburg,TX," Edinburg, TX",26.3017374,-98.1633432
400, Paducah,KY," Paducah, KY",37.0833893,-88.6000478
401, Talladega,AL," Talladega, AL",33.4359416,-86.1058048
402, Plaquemine,LA," Plaquemine, LA",30.2890833,-91.2342744
403, Huntsville,AL," Huntsville, AL",34.7303688,-86.5861037
404, Huntsville,AL," Huntsville, AL",34.7303688,-86.5861037
405, Highland,IL," Highland, IL",38.7394918,-89.6712008
406, Carlyle,IL," Carlyle, IL",38.6103264,-89.3725796
407, Colony,TX," Colony, TX",33.0806083,-96.8928309
408, Breckenridge,TX," Breckenridge, TX",32.7556768,-98.9022898
409, Sealy,TX," Sealy, TX",29.7807878,-96.1571833
410, Rockport,TX," Rockport, TX",28.0205733,-97.0544341
411, Kingsville,TX," Kingsville, TX",27.5158689,-97.856109
412, Smyrna,TN," Smyrna, TN",35.9828412,-86.5186045
413, Hondo,TX," Hondo, TX",29.3474565,-99.1414249
414, Springfield,MO," Springfield, MO",37.2089572,-93.2922989
415, Madisonville,TX," Madisonville, TX",30.9499111,-95.9116188
416, Leitchfield,KY," Leitchfield, KY",37.4800544,-86.2938637
417, Del Rio,TX," Del Rio, TX",29.3708857,-100.8958674
418, Shreveport,LA," Shreveport, LA",32.5251516,-93.7501789
419, Port Arthur,TX," Port Arthur, TX",29.8849504,-93.939947
420, Mcallen,TX," Mcallen, TX",26.2034071,-98.2300124
421, Mayfield,KY," Mayfield, KY",36.7417235,-88.6367154
422, Shreveport,LA," Shreveport, LA",32.5251516,-93.7501789
423, Fairfield,IL," Fairfield, IL",38.378937,-88.3597683
424, Columbia,MO," Columbia, MO",38.9517053,-92.3340724
425, Broussard,LA," Broussard, LA",30.147146,-91.9612305
426, Aransas Pass,TX," Aransas Pass, TX",27.9094677,-97.1499898
427, Covington,GA," Covington, GA",33.5967815,-83.8601827
428, Brownsville,TX," Brownsville, TX",25.9017472,-97.4974838
429, Pana,IL," Pana, IL",39.3889311,-89.0800809
430, Beeville,TX," Beeville, TX",28.4008319,-97.7483312
431, Eagle Pass,TX," Eagle Pass, TX",28.7091433,-100.4995214
432, Corpus Christi,TX," Corpus Christi, TX",27.8005828,-97.396381
433, Floresville,TX," Floresville, TX",29.1335781,-98.1561192
434, Bolivar,TN," Bolivar, TN",35.2561937,-88.9878389
435, Cuero,TX," Cuero, TX",29.0938652,-97.2891568
436, Texarkana,AR," Texarkana, AR",33.4417915,-94.0376881
